,GPA,GRE_Verbal,GRE_Quantitative,GRE_Writing,GRE_Subject,American,Papers,Research,Decision,GPA_rev,GRE_Verbal_rev,GRE_Quantitative_rev,GRE_Writing_rev,GRE_Subject_rev,Decision_rev,GPA_log,GRE_Verbal_log,GRE_Quantitative_log,GRE_Writing_log,GRE_Subject_log,GPA_sq,GRE_Verbal_sq,GRE_Quantitative_sq,GRE_Writing_sq,GRE_Subject_sq,GRE_Verbal_pc,GRE_Quantitative_pc,GRE_Writing_pc,GRE_Subject_pc,GREVxGREQ,GREVxGRES,GREQxGRES,GREVxGREQxGRES
0,3.77,154.0,167.0,3.0,880.0,0,0.0,0.0,1,0.22999999999999998,16.0,3.0,2.0,110.0,0,0.08990511143939792,1.2304489213782739,0.6020599913279623,0.47712125471966244,2.045322978786657,14.2129,23716.0,27889.0,9.0,774400.0,0.6803095750532786,0.9400641283807901,0.28274282748899554,0.8561750288932115,160.36832604975336,368.13041167499324,383.3536226514626,282.86114044908703
1,3.63,156.0,163.0,4.0,570.0,1,0.0,0.0,0,0.3700000000000001,14.0,7.0,1.0,420.0,1,0.1367205671564068,1.1760912590556811,0.9030899869919434,0.30102999566398114,2.624282095835668,13.1769,24336.0,26569.0,16.0,324900.0,0.7598476492929147,0.8680447469116805,0.7172571725110044,0.18439713395929203,159.46159412222116,298.19456735494026,304.8114171090053,243.81608464584568
2,3.2,158.0,159.0,4.0,610.0,1,1.0,0.0,0,0.7999999999999998,12.0,11.0,1.0,380.0,1,0.255272505103306,1.1139433523068367,1.0791812460476247,0.30102999566398114,2.580924975675619,10.240000000000002,24964.0,25281.0,16.0,372100.0,0.8271750203908003,0.7514563991064801,0.7172571725110044,0.25927905859573896,158.49921135450487,310.45128442317645,311.432175601687,248.38651574319508
3,3.58,159.0,160.0,4.0,610.0,1,1.0,1.0,0,0.41999999999999993,11.0,10.0,1.0,380.0,1,0.15228834438305644,1.0791812460476247,1.041392685158225,0.30102999566398114,2.580924975675619,12.8164,25281.0,25600.0,16.0,372100.0,0.8558105218404848,0.7848297100132327,0.7172571725110044,0.25927905859573896,159.4992162990151,311.432175601687,312.40998703626616,249.43016882320504
4,3.1,162.0,163.0,3.0,880.0,0,0.0,0.0,0,0.8999999999999999,8.0,7.0,2.0,110.0,1,0.2787536009528289,0.9542425094393249,0.9030899869919434,0.47712125471966244,2.045322978786657,9.610000000000001,26244.0,26569.0,9.0,774400.0,0.9218398336491003,0.8680447469116805,0.28274282748899554,0.8561750288932115,162.4992307674101,377.57118534125453,378.7347356660067,285.3613145956227
5,3.94,164.0,163.0,5.0,750.0,1,0.0,0.0,0,0.06000000000000005,6.0,7.0,0.0,240.0,1,0.025305865264770258,0.8450980400142567,0.9030899869919434,0.0,2.382017042574868,15.5236,26896.0,26569.0,25.0,562500.0,0.9510178962672838,0.8680447469116805,0.9576585270212108,0.5950311213424182,163.49923547221863,350.71355833500365,349.64267474094174,271.6632583076134
6,3.97,159.0,168.0,4.0,950.0,1,0.0,1.0,0,0.029999999999999805,11.0,2.0,1.0,40.0,1,0.012837224705172122,1.0791812460476247,0.47712125471966244,0.30102999566398114,1.6127838567197355,15.760900000000001,25281.0,28224.0,16.0,902500.0,0.8558105218404848,0.9520277773999577,0.7172571725110044,0.9340086460688118,163.43806166251483,388.6515148561755,399.49968710876357,293.8619371192287
7,3.9,159.0,168.0,4.0,970.0,0,0.0,0.0,0,0.10000000000000009,11.0,2.0,1.0,20.0,1,0.04139268515822507,1.0791812460476247,0.47712125471966244,0.30102999566398114,1.322219294733919,15.209999999999999,25281.0,28224.0,16.0,940900.0,0.8558105218404848,0.9520277773999577,0.7172571725110044,0.948756183117059,163.43806166251483,392.7212752067298,403.68304398376705,295.90982156753864
8,3.9,162.0,162.0,4.0,850.0,1,0.0,0.0,0,0.10000000000000009,8.0,8.0,1.0,140.0,1,0.04139268515822507,0.9542425094393249,0.9542425094393249,0.30102999566398114,2.1492191126553797,15.209999999999999,26244.0,26244.0,16.0,722500.0,0.9218398336491003,0.8431928314407704,0.7172571725110044,0.8087822824308813,162.0,371.07950630558946,371.07950630558946,281.50297239388794
9,3.93,158.0,170.0,4.0,980.0,0,0.0,0.0,0,0.06999999999999984,12.0,0.0,1.0,10.0,1,0.029383777685209573,1.1139433523068367,0.0,0.30102999566398114,1.041392685158225,15.4449,24964.0,28900.0,16.0,960400.0,0.8271750203908003,0.9702106965136724,0.7172571725110044,0.9550762344033806,163.89020715100705,393.49714103154554,408.1666326391711,297.4705853270774
10,3.34,159.0,170.0,4.5,990.0,0,0.0,1.0,0,0.6600000000000001,11.0,0.0,0.5,0.0,1,0.22010808804005513,1.0791812460476247,0.0,0.17609125905568124,0.0,11.1556,25281.0,28900.0,20.25,980100.0,0.8558105218404848,0.9702106965136724,0.8748096710720308,0.9607531528428073,164.40802900101932,396.7492911146786,410.2438299353203,299.10734653371645
11,3.58,159.0,160.0,4.0,610.0,1,1.0,1.0,0,0.41999999999999993,11.0,10.0,1.0,380.0,1,0.15228834438305644,1.0791812460476247,1.041392685158225,0.30102999566398114,2.580924975675619,12.8164,25281.0,25600.0,16.0,372100.0,0.8558105218404848,0.7848297100132327,0.7172571725110044,0.25927905859573896,159.4992162990151,311.432175601687,312.40998703626616,249.43016882320504
12,3.71,161.0,167.0,4.5,980.0,0,0.0,0.0,1,0.29000000000000004,9.0,3.0,0.5,10.0,0,0.11058971029924895,1.0,0.6020599913279623,0.17609125905568124,1.041392685158225,13.7641,25921.0,27889.0,20.25,960400.0,0.9030164326359974,0.9400641283807901,0.8748096710720308,0.9550762344033806,163.97255867979862,397.215306855111,404.54913175039695,297.57022563628726
13,3.87,156.0,169.0,3.5,910.0,0,0.0,0.0,1,0.1299999999999999,14.0,1.0,1.5,80.0,0,0.05307844348341968,1.1760912590556811,0.30102999566398114,0.3979400086720376,1.9084850188786497,14.9769,24336.0,28561.0,12.25,828100.0,0.7598476492929147,0.9619990328130503,0.5,0.8949270871089533,162.36994795835835,376.7757954009254,392.1606813539573,288.4148150512114
14,3.7,155.0,170.0,4.0,880.0,0,0.0,0.0,1,0.2999999999999998,15.0,0.0,1.0,110.0,0,0.11394335230683669,1.2041199826559246,0.0,0.30102999566398114,2.045322978786657,13.690000000000001,24025.0,28900.0,16.0,774400.0,0.7214614801239139,0.9702106965136724,0.7172571725110044,0.8561750288932115,162.32683080747927,369.32370625238775,386.78159211627434,285.1594470461601
15,3.93,157.0,155.0,4.0,570.0,1,0.0,0.0,0,0.06999999999999984,13.0,15.0,1.0,420.0,1,0.029383777685209573,1.1461280356782377,1.2041199826559246,0.30102999566398114,2.624282095835668,15.4449,24649.0,24025.0,16.0,324900.0,0.795154218946271,0.5952084348070098,0.7172571725110044,0.18439713395929203,155.9967948388684,299.1487924093962,297.23727895403704,240.2713943777575
16,3.24,164.0,157.0,4.0,570.0,1,0.0,0.0,1,0.7599999999999998,6.0,13.0,1.0,420.0,0,0.24551266781414977,0.8450980400142567,1.1461280356782377,0.30102999566398114,2.624282095835668,10.497600000000002,26896.0,24649.0,16.0,324900.0,0.9510178962672838,0.6772497514907866,0.7172571725110044,0.18439713395929203,160.46183346827368,305.74499178236755,299.1487924093962,244.83459611866647
17,3.5,151.0,170.0,3.0,980.0,0,0.0,0.0,1,0.5,19.0,0.0,2.0,10.0,0,0.17609125905568124,1.301029995663981,0.0,0.47712125471966244,1.041392685158225,12.25,22801.0,28900.0,9.0,960400.0,0.5448629308773866,0.9702106965136724,0.28274282748899554,0.9550762344033806,160.21860066796242,384.6816865929544,408.1666326391711,293.01103834599826
