,GPA,GRE_Verbal,GRE_Quantitative,GRE_Writing,GRE_Subject,American,Papers,Research,Decision,GPA_rev,GRE_Verbal_rev,GRE_Quantitative_rev,GRE_Writing_rev,GRE_Subject_rev,Decision_rev,GPA_log,GRE_Verbal_log,GRE_Quantitative_log,GRE_Writing_log,GRE_Subject_log,GPA_sq,GRE_Verbal_sq,GRE_Quantitative_sq,GRE_Writing_sq,GRE_Subject_sq,GRE_Verbal_pc,GRE_Quantitative_pc,GRE_Writing_pc,GRE_Subject_pc,GREVxGREQ,GREVxGRES,GREQxGRES,GREVxGREQxGRES
322,3.64,167.0,169.0,4.0,980.0,0,0.0,0.0,0,0.3599999999999999,3.0,1.0,1.0,10.0,1,0.13353890837021745,0.6020599913279623,0.30102999566398114,0.30102999566398114,1.041392685158225,13.249600000000001,27889.0,28561.0,16.0,960400.0,0.9778201629480878,0.9619990328130503,0.7172571725110044,0.9550762344033806,167.99702378316113,404.54913175039695,406.96437190496175,302.41947176857593
323,3.64,167.0,169.0,4.0,980.0,0,0.0,0.0,0,0.3599999999999999,3.0,1.0,1.0,10.0,1,0.13353890837021745,0.6020599913279623,0.30102999566398114,0.30102999566398114,1.041392685158225,13.249600000000001,27889.0,28561.0,16.0,960400.0,0.9778201629480878,0.9619990328130503,0.7172571725110044,0.9550762344033806,167.99702378316113,404.54913175039695,406.96437190496175,302.41947176857593
324,3.5,156.0,168.0,4.0,950.0,0,0.0,0.0,0,0.5,14.0,2.0,1.0,40.0,1,0.17609125905568124,1.1760912590556811,0.47712125471966244,0.30102999566398114,1.6127838567197355,12.25,24336.0,28224.0,16.0,902500.0,0.7598476492929147,0.9520277773999577,0.7172571725110044,0.9340086460688118,161.8888507587845,384.9675310984032,399.49968710876357,292.0020016126005
325,3.52,160.0,169.0,3.5,990.0,0,1.0,0.0,0,0.48,10.0,1.0,1.5,0.0,1,0.17026171539495735,1.041392685158225,0.30102999566398114,0.3979400086720376,0.0,12.3904,25600.0,28561.0,12.25,980100.0,0.881061215205243,0.9619990328130503,0.5,0.9607531528428073,164.43843832875572,397.99497484264805,409.03545078635915,299.14422783452596
326,3.52,160.0,169.0,3.5,990.0,0,1.0,0.0,0,0.48,10.0,1.0,1.5,0.0,1,0.17026171539495735,1.041392685158225,0.30102999566398114,0.3979400086720376,0.0,12.3904,25600.0,28561.0,12.25,980100.0,0.881061215205243,0.9619990328130503,0.5,0.9607531528428073,164.43843832875572,397.99497484264805,409.03545078635915,299.14422783452596
327,3.97,165.0,170.0,3.5,980.0,1,0.0,0.0,0,0.029999999999999805,5.0,0.0,1.5,10.0,1,0.012837224705172122,0.7781512503836435,0.0,0.3979400086720376,1.041392685158225,15.760900000000001,27225.0,28900.0,12.25,960400.0,0.9619211128879195,0.9702106965136724,0.5,0.9550762344033806,167.4813422444423,402.11938525766203,408.1666326391711,301.80028606772544
328,3.92,162.0,170.0,4.5,970.0,0,0.0,0.0,0,0.08000000000000007,8.0,0.0,0.5,20.0,1,0.03342375548694973,0.9542425094393249,0.0,0.17609125905568124,1.322219294733919,15.366399999999999,26244.0,28900.0,20.25,940900.0,0.9218398336491003,0.9702106965136724,0.8748096710720308,0.948756183117059,165.951800231272,396.40887981981433,406.07881008493905,298.9362324537318
329,3.92,162.0,170.0,4.5,970.0,0,0.0,0.0,0,0.08000000000000007,8.0,0.0,0.5,20.0,1,0.03342375548694973,0.9542425094393249,0.0,0.17609125905568124,1.322219294733919,15.366399999999999,26244.0,28900.0,20.25,940900.0,0.9218398336491003,0.9702106965136724,0.8748096710720308,0.948756183117059,165.951800231272,396.40887981981433,406.07881008493905,298.9362324537318
330,3.8,162.0,170.0,4.0,980.0,0,0.0,0.0,0,0.20000000000000018,8.0,0.0,1.0,10.0,1,0.07918124604762489,0.9542425094393249,0.0,0.30102999566398114,1.041392685158225,14.44,26244.0,28900.0,16.0,960400.0,0.9218398336491003,0.9702106965136724,0.7172571725110044,0.9550762344033806,165.951800231272,398.4469851812158,408.1666326391711,299.95999466548113
331,3.77,154.0,160.0,4.5,790.0,1,1.0,1.0,0,0.22999999999999998,16.0,10.0,0.5,200.0,1,0.08990511143939792,1.2304489213782739,1.041392685158225,0.17609125905568124,2.3031960574204886,14.2129,23716.0,25600.0,20.25,624100.0,0.6803095750532786,0.7848297100132327,0.8748096710720308,0.6892306851715879,156.9713349627887,348.7979357737084,355.5277766926236,269.00226178867814
332,3.8,159.0,168.0,4.0,850.0,1,1.0,1.0,1,0.20000000000000018,11.0,2.0,1.0,140.0,0,0.07918124604762489,1.0791812460476247,0.47712125471966244,0.30102999566398114,2.1492191126553797,14.44,25281.0,28224.0,16.0,722500.0,0.8558105218404848,0.9520277773999577,0.7172571725110044,0.8087822824308813,163.43806166251483,367.62752889303596,377.8888725538237,283.16643765819254
333,4.0,156.0,169.0,3.5,990.0,0,0.0,0.0,1,0.0,14.0,1.0,1.5,0.0,0,0.0,1.1760912590556811,0.30102999566398114,0.3979400086720376,0.0,16.0,24336.0,28561.0,12.25,980100.0,0.7598476492929147,0.9619990328130503,0.5,0.9607531528428073,162.36994795835835,392.9885494515076,409.03545078635915,296.6302919393884
334,4.0,156.0,169.0,3.5,990.0,0,0.0,0.0,0,0.0,14.0,1.0,1.5,0.0,1,0.0,1.1760912590556811,0.30102999566398114,0.3979400086720376,0.0,16.0,24336.0,28561.0,12.25,980100.0,0.7598476492929147,0.9619990328130503,0.5,0.9607531528428073,162.36994795835835,392.9885494515076,409.03545078635915,296.6302919393884
335,3.97,168.0,167.0,5.0,930.0,1,0.0,0.0,0,0.029999999999999805,2.0,3.0,0.0,60.0,1,0.012837224705172122,0.47712125471966244,0.6020599913279623,0.0,1.785329835010767,15.760900000000001,28224.0,27889.0,25.0,864900.0,0.9833852809990719,0.9400641283807901,0.9576585270212108,0.9161676965266359,167.49925372968085,395.2720582080145,394.0938974406988,296.5989212535071
336,3.97,168.0,167.0,5.0,930.0,1,0.0,0.0,1,0.029999999999999805,2.0,3.0,0.0,60.0,0,0.012837224705172122,0.47712125471966244,0.6020599913279623,0.0,1.785329835010767,15.760900000000001,28224.0,27889.0,25.0,864900.0,0.9833852809990719,0.9400641283807901,0.9576585270212108,0.9161676965266359,167.49925372968085,395.2720582080145,394.0938974406988,296.5989212535071
